🗵	Ballot Box With Script X	Animals & nature
🗶	Ballot Bold Script X	Activities & objects
🗷	Ballot Box With Bold Script X	Animals & nature
🗸	Light Check Mark	Symbols
🗹	Ballot Box With Bold Check	Animals & nature
🗺	World Map	Travel & places
🗻	Mount Fuji	Other
🗼	Tokyo Tower	Travel & places
🗽	Statue Of Liberty	Travel & places
🗾	Silhouette Of Japan	Other
🗿	Moyai	Activities & objects
😀	Grinning Face	Smileys
😁	Grinning Face With Smiling Eyes	Smileys
😂	Face With Tears Of Joy	Smileys
😃	Smiling Face With Open Mouth	Smileys
😄	Smiling Face With Open Mouth And Smiling Eyes	Smileys
😅	Smiling Face With Open Mouth And Cold Sweat	Smileys
😆	Smiling Face With Open Mouth And Tightly-Closed Eyes	Smileys
😇	Smiling Face With Halo	Smileys
😈	Smiling Face With Horns	Smileys
😉	Winking Face	Smileys
😊	Smiling Face With Smiling Eyes	Smileys
😋	Face Savouring Delicious Food	Smileys
😌	Relieved Face	Smileys
😍	Smiling Face With Heart-Shaped Eyes	Smileys
😎	Smiling Face With Sunglasses	Smileys
😏	Smirking Face	Smileys
😐	Neutral Face	Smileys
😑	Expressionless Face	Smileys
😒	Unamused Face	Smileys
😓	Face With Cold Sweat	Smileys
😔	Pensive Face	Smileys
😕	Confused Face	Smileys
